epoch,loss,hardening_loss,r_loss,auxiliary_loss,learning_rate,validation_hardening_mre_percent,validation_r_mre_percent,validation_selection_score
1,1.0635772943496704,0.6068524718284607,0.15949471294879913,0.9182358980178833,0.002,16.108743848765073,14.419600435193193,30.528344283958265
2,0.8805444240570068,0.5125622749328613,0.1376359760761261,0.618067741394043,0.002,13.72611682167124,14.354119154635034,28.080235976306277
3,0.7237958908081055,0.40364012122154236,0.12159302085638046,0.5131315588951111,0.002,10.774467071174962,18.666800446351587,29.441267517526548
4,0.5846195816993713,0.2728528678417206,0.1202421560883522,0.47521597146987915,0.002,7.439561443725211,16.98159954599463,24.42116098971984
5,0.42747676372528076,0.14576555788516998,0.10700099915266037,0.45139461755752563,0.002,5.310221687858866,14.057451409873368,19.367673097732233
6,0.36691293120384216,0.11116698384284973,0.09553610533475876,0.43115827441215515,0.002,6.283298732344124,13.23559894182863,19.518897674172752
7,0.37949663400650024,0.14473462104797363,0.08608544617891312,0.4172742962837219,0.002,6.83757012807714,13.05663533075265,19.894205458829788
8,0.3734824061393738,0.1582106202840805,0.07690025866031647,0.40980857610702515,0.002,5.581109825679538,13.047126104824075,18.62823593050361
9,0.3270203471183777,0.11412720382213593,0.07556533068418503,0.41174983978271484,0.002,4.662146786229184,13.075938597645948,17.73808538387513
10,0.26334628462791443,0.08154991269111633,0.05999946594238281,0.4119828939437866,0.002,4.938886319956022,13.22495579850017,18.16384211845619
11,0.24186371266841888,0.07769078016281128,0.051773808896541595,0.4041687846183777,0.002,5.383425828759801,13.290000909150715,18.673426737910514
12,0.2383490949869156,0.08275163173675537,0.04894991219043732,0.38465094566345215,0.002,5.389119812571264,13.239519765652844,18.628639578224107
13,0.21002967655658722,0.08240608125925064,0.036199770867824554,0.36816030740737915,0.002,5.068620692908631,13.431374712464903,18.499995405373536
14,0.1790032982826233,0.07080710679292679,0.027777662500739098,0.3509390950202942,0.002,4.4913785285248204,14.03728851271165,18.528667041236467
15,0.1622510552406311,0.0573037751019001,0.027025286108255386,0.3393113315105438,0.002,4.002171174590618,13.502085893522963,17.50425706811358
16,0.14353084564208984,0.05196518823504448,0.020909227430820465,0.33164799213409424,0.002,3.7600502391280677,13.295447833257318,17.055498072385387
