condition_id,split,tensile_angle_deg,r_cpfem,r_sachs,r_taylor
TS001,val,0,3.815533714970419,2.233476895897429,2.383233756834445
TS001,val,45,1.0795974803190889,0.8929379283186019,0.9610735235001783
TS001,val,90,0.9748795772390717,0.9752904792029614,0.8648448501304561
TS002,train,0,0.1921585131810901,0.24406944083251841,0.24757354974630738
TS002,train,45,1.179852892366098,0.9173847810343037,0.7909839323854976
TS002,train,90,0.19459518750072802,0.28863219712374044,0.24608040473212572
TS003,test,0,0.5157059730590109,0.589329835213592,0.5483655592894683
TS003,test,45,2.374840090827679,1.288982947934075,1.582943099511107
TS003,test,90,0.7470284360815131,0.7353391164817209,0.7124015431706195
TS023,train,0,3.547456421271115,1.7715926671285702,1.7845346268138913
TS023,train,45,2.274312451631381,1.6972224989556972,1.5082425559542414
TS023,train,90,0.6419656586364021,0.7594861004791787,0.7195288994187021
TS049,train,0,1.9381505462581177,1.2508600985052223,1.5345970264453124
TS049,train,45,0.5592995197725082,0.7148198371512057,0.6078594888914973
TS049,train,90,3.430366336609551,1.69978763760069,2.4723002434285224
TS071,train,0,3.476712209335935,2.0138448222747636,2.2834732372122057
TS071,train,45,0.6692993778588469,0.7466334509983938,0.6267334685018262
TS071,train,90,2.292411513554543,1.345983282292947,1.586743726511414
TS097,train,0,0.40752161168037954,0.44310729901954216,0.45453260354435354
TS097,train,45,1.1664306352141744,1.007709023021503,0.9174371366262211
TS097,train,90,0.20560738580841703,0.33065552566202155,0.29492755641274854
TS115,train,0,0.7811048655755066,0.8479423723186833,0.8231105483630243
TS115,train,45,0.8243417935987396,0.9144401764531294,0.7812508542955152
TS115,train,90,0.7257304703650909,0.8221094851265905,0.7966544080227519
TS138,train,0,1.0679684652053727,0.9656587111333251,0.977521749757006
TS138,train,45,0.7447419790127044,0.8064800418457736,0.7867416680385743
TS138,train,90,1.1867968043471686,1.197144491181661,1.096869402850061
TS151,test,0,0.7651065867515413,0.9434411406543421,0.8111892605649322
TS151,test,45,0.9836793432432269,0.9525018645475942,0.8992742092102897
TS151,test,90,1.3675694363616155,1.1115567065275072,1.1753861557919496
TS157,train,0,1.0968767627409297,1.0418979912549224,1.0370135384784347
TS157,train,45,0.36752314549107024,0.4961521906430227,0.475479338055906
TS157,train,90,1.2922451358754876,1.0662283728970674,1.2146556000461364
TS167,val,0,0.5993121292628709,0.6530494386856852,0.6201956787449845
TS167,val,45,0.963877303738407,0.8865214420068526,0.8145321609665419
TS167,val,90,0.6262700759720496,0.6909918881149623,0.65343417395174
TS177,train,0,1.5404883528750926,1.0507898801884434,1.0745651773025522
TS177,train,45,1.181291495805907,0.9974731599378422,0.9206804065384292
TS177,train,90,0.7888124191194454,0.8534046501978432,0.8136559905312081
TS198,train,0,0.5880852220567165,0.748344511133755,0.6249553669337468
TS198,train,45,1.017840454815851,1.0079606396047982,0.8791076301202608
TS198,train,90,1.7015171774920268,1.2671244783730338,1.2203316990094593
TS221,train,0,1.3072929620855673,0.954686594428051,0.9345875636174191
TS221,train,45,2.740072156936786,1.6223179558990761,1.7179840902124477
TS221,train,90,0.4270621334752569,0.630923359311097,0.471082136270713
TS244,train,0,1.4706984548929425,1.1573144273534715,1.260137207555011
TS244,train,45,0.7669741108484252,0.9110089536110564,0.7430430409924667
TS244,train,90,0.9175241115394993,0.9506231413688356,0.9499172080313991
TS271,train,0,0.9577909831087378,0.841359974144276,0.9073392128878855
TS271,train,45,2.760204840520136,1.1628646427088507,1.2927633691306415
TS271,train,90,0.7293726876121341,0.655311350016466,0.6451175171547981
TS297,train,0,1.55586969110435,1.2223306167330894,1.216969644148684
TS297,train,45,3.1862233934171305,1.958179440938414,2.2467876906444113
TS297,train,90,0.7293453114127469,0.8692749821497957,0.7738729196299007
TS298,test,0,1.2590937939992697,0.9575318153596548,1.067864091137442
TS298,test,45,0.8581533833016947,1.0503498005727048,0.9546592475183003
TS298,test,90,6.078458564741283,3.648011855543149,4.223326468279102
TS300,val,0,0.7837889887328351,0.9311953993730064,0.8659491615931
TS300,val,45,1.4798752702086115,1.2584173939729089,1.3287786071191243
TS300,val,90,1.6551489122995229,1.14952676198175,1.2496721529644343
