stable_id,scientific_role,condition_id,domain,png_path,svg_path,svg_mode,source_data_path,source_data_sha256,generator_path,units,uncertainty_definition,model_checkpoint,model_seed,width_px,height_px,dpi
example_panel_hardening,hardening,TS003;TS151;TS298,small-example internal test,seed7/figures/example_panel_hardening.png,seed7/figures/example_panel_hardening.svg,true_vector,PLOTTED_DATA/parity_hardening.csv,6f04b8f083f647f731f3723d4ec78cd070e420d1e38c96d0dd40bf2d0fe03319,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,3000,3000,600
example_panel_lankford,lankford,TS003;TS151;TS298,small-example internal test,seed7/figures/example_panel_lankford.png,seed7/figures/example_panel_lankford.svg,true_vector,PLOTTED_DATA/parity_lankford.csv,b2998d3e04077de2d57fa5f31b90a2e29f7035afefdbfeaa7441adfa37867657,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,3000,3000,600
example_panel_locus_ts003,locus_ts003,TS003,small-example internal test,seed7/figures/example_panel_locus_ts003.png,seed7/figures/example_panel_locus_ts003.svg,true_vector,PLOTTED_DATA/locus_points.csv,03fc427431490cace8c2836e286edd89531dc45ced80886c3c7f5be65f62ddc1,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,3000,3000,600
example_panel_locus_ts151,locus_ts151,TS151,small-example internal test,seed7/figures/example_panel_locus_ts151.png,seed7/figures/example_panel_locus_ts151.svg,true_vector,PLOTTED_DATA/locus_points.csv,03fc427431490cace8c2836e286edd89531dc45ced80886c3c7f5be65f62ddc1,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,3000,3000,600
example_legend_conditions,legend,all,small-example internal test,seed7/figures/example_legend_conditions.png,seed7/figures/example_legend_conditions.svg,true_vector,PLOTTED_DATA/parity_metrics.csv,7469d69add62d0193385cf8210e79b5e5d131e1a95461062ad1c9c11b90f084b,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,4500,390,600
example_legend_tensile_directions,legend,all,small-example internal test,seed7/figures/example_legend_tensile_directions.png,seed7/figures/example_legend_tensile_directions.svg,true_vector,PLOTTED_DATA/parity_metrics.csv,7469d69add62d0193385cf8210e79b5e5d131e1a95461062ad1c9c11b90f084b,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,4500,390,600
example_legend_locus_sources,legend,all,small-example internal test,seed7/figures/example_legend_locus_sources.png,seed7/figures/example_legend_locus_sources.svg,true_vector,PLOTTED_DATA/parity_metrics.csv,7469d69add62d0193385cf8210e79b5e5d131e1a95461062ad1c9c11b90f084b,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,4500,390,600
example_legend_plastic_work,legend,all,small-example internal test,seed7/figures/example_legend_plastic_work.png,seed7/figures/example_legend_plastic_work.svg,true_vector,PLOTTED_DATA/parity_metrics.csv,7469d69add62d0193385cf8210e79b5e5d131e1a95461062ad1c9c11b90f084b,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,4500,390,600
example_panel_overview,four-panel overview,TS003;TS151;TS298,small-example internal test,seed7/figures/example_panel_overview.png,seed7/figures/example_panel_overview.svg,true_vector,PLOTTED_DATA/parity_metrics.csv,7469d69add62d0193385cf8210e79b5e5d131e1a95461062ad1c9c11b90f084b,examples/generate_figures.py,MPa or dimensionless r,none; single seed,examples/expected/seed7/model_best.pt,7,6420,7080,600
