condition_id,work_mj_m3,polar_angle_rad,sigma11_mpa,sigma22_mpa
TS003,0.25,0.0,183.81335506945692,0.0
TS003,0.25,0.008726646259971648,184.33067083467392,1.6086293941560763
TS003,0.25,0.017453292519943295,184.8372659244889,3.2263464778661732
TS003,0.25,0.026179938779914945,185.333082998035,4.853117575562155
TS003,0.25,0.03490658503988659,185.8180759865023,6.48891019892471
TS003,0.25,0.04363323129985824,186.29221029717263,8.133693558085376
TS003,0.25,0.05235987755982989,186.75546297390582,9.787439083438631
TS003,0.25,0.061086523819801536,187.20782281250516,11.450120955880426
TS003,0.25,0.06981317007977318,187.64929042962848,13.121716643205799
TS003,0.25,0.07853981633974483,188.0798782841477,14.802207440328914
TS003,0.25,0.08726646259971647,188.49961065010004,16.49157901093428
TS003,0.25,0.09599310885968812,188.90852354060735,18.189821928127397
TS003,0.25,0.10471975511965978,189.30666458236328,19.896932211625213
TS003,0.25,0.11344640137963143,189.69409284049775,21.61291185901093
TS003,0.25,0.12217304763960307,190.07087859382372,23.337769368571934
TS003,0.25,0.1308996938995747,190.43710306063895,25.07152025124142
TS003,0.25,0.13962634015954636,190.7928580754023,26.814187529171946
TS003,0.25,0.14835298641951802,191.13824571671987,28.565802218479423
TS003,0.25,0.15707963267948966,191.4733778871572,30.326403793705836
TS003,0.25,0.16580627893946132,191.79837584544256,32.09604063155508
TS003,0.25,0.17453292519943295,192.11336969163068,33.87477043145436
TS003,0.25,0.1832595714594046,192.41849780576362,35.66266061048078
TS003,0.25,0.19198621771937624,192.71390624048436,37.459788670162645
TS003,0.25,0.2007128639793479,192.99974806793415,39.266242532615884
TS003,0.25,0.20943951023931956,193.27618268108955,41.08212084339947
TS003,0.25,0.2181661564992912,193.54337504947068,42.907533238368394
TS003,0.25,0.22689280275926285,193.80149492887617,44.742600571659636
TS003,0.25,0.23561944901923448,194.05071602447092,46.58745510176296
TS003,0.25,0.24434609527920614,194.29121510616932,48.442240632396015
TS003,0.25,0.2530727415391778,194.52317107481875,50.307112604617224
TS003,0.25,0.2617993877991494,194.74676397719082,52.18223813626273
TS003,0.25,0.27052603405912107,194.96217396723927,54.06779600437954
TS003,0.25,0.2792526803190927,195.16958021046864,55.96397656583543
TS003,0.25,0.2879793265790644,195.36915972759238,57.87098161071504
TS003,0.25,0.29670597283903605,195.56108617292688,59.789024142444745
TS003,0.25,0.30543261909900765,195.74552854218166,61.71832807782638
TS003,0.25,0.3141592653589793,195.9226498034536,63.65912785928422
TS003,0.25,0.32288591161895097,196.0926054443259,65.6116679706382
TS003,0.25,0.33161255787892263,196.2555419270034,67.57620234659491
TS003,0.25,0.34033920413889424,196.41159504238976,69.55299366488859
TS003,0.25,0.3490658503988659,196.5608881529325,71.54231250859563
TS003,0.25,0.35779249665883756,196.70353031293325,73.5444363845806
TS003,0.25,0.3665191429188092,196.83961425385178,75.5596485822983
TS003,0.25,0.3752457891787809,196.96921422092672,77.58823685526673
TS003,0.25,0.3839724354387525,197.0923836462208,79.63049190543737
TS003,0.25,0.39269908169872414,197.20915264198172,81.68670564841473
TS003,0.25,0.4014257279586958,197.31952529701766,83.75716923501803
TS003,0.25,0.41015237421866746,197.4234767576657,85.84217080204529
TS003,0.25,0.4188790204786391,197.5209500739064,87.94199292229835
TS003,0.25,0.4276056667386107,197.6118527903208,90.05690972098924
TS003,0.25,0.4363323129985824,197.69605326095686,92.18718362260267
TS003,0.25,0.44505895925855404,197.77337666686722,94.33306168919287
TS003,0.25,0.4537856055185257,197.84360071520132,96.49477150801584
TS003,0.25,0.4625122517784973,197.90645099942094,98.67251658343892
TS003,0.25,0.47123889803846897,197.96159600162434,100.86647118536216
TS003,0.25,0.4799655442984406,198.0086417203023,103.07677460409522
TS003,0.25,0.4886921905584123,198.04712591034738,105.30352475998012
TS003,0.25,0.49741883681838395,198.07651192707266,107.54677111530492
TS003,0.25,0.5061454830783556,198.09618217269062,109.80650683655905
TS003,0.25,0.5148721293383273,198.10543115251642,112.08266015724524
TS003,0.25,0.5235987755982988,198.103458159524,114.37508489579692
TS003,0.25,0.5323254218582705,198.08935962023247,116.68355009023625
TS003,0.25,0.5410520681182421,198.06212115274545,119.00772872175028
TS003,0.25,0.5497787143782138,198.02060940958913,121.34718551414582
TS003,0.25,0.5585053606381855,197.9635638043061,123.70136381605755
TS003,0.25,0.5672320068981571,197.88958825199452,126.06957159878557
TS003,0.25,0.5759586531581288,197.7971430904718,128.4509666357269
TS003,0.25,0.5846852994181004,197.6845373906569,130.8445409705256
TS003,0.25,0.5934119456780721,197.54992191198124,133.24910483118768
TS003,0.25,0.6021385919380436,197.391283010657,135.66327020716668
TS003,0.25,0.6108652381980153,197.20643786441744,138.0854343761498
TS003,0.25,0.619591884457987,196.99303143517255,140.51376374672546
TS003,0.25,0.6283185307179586,196.7485356483197,142.94617847128305
TS003,0.25,0.6370451769779303,196.4702513206178,145.38033837832148
TS003,0.25,0.6457718232379019,196.1553134128497,147.81363087143583
TS003,0.25,0.6544984694978736,195.80070021301097,150.24316153862108
TS003,0.25,0.6632251157578453,195.40324706340377,152.6657483033783
TS003,0.25,0.6719517620178169,194.95966522274563,155.07792001970765
TS003,0.25,0.6806784082777885,194.46656639371224,157.47592045588493
TS003,0.25,0.6894050545377601,193.92049333889753,159.85571861493256
TS003,0.25,0.6981317007977318,193.31795684688683,162.21302629016807
TS003,0.25,0.7068583470577035,192.6554790903675,164.54332363979364
TS003,0.25,0.7155849933176751,191.9296431393055,166.8418933747994
TS003,0.25,0.7243116395776468,191.13714805906494,169.10386388302484
TS003,0.25,0.7330382858376184,190.27486864771362,171.32426125864163
TS003,0.25,0.7417649320975901,189.33991846816892,173.49806977830042
TS003,0.25,0.7504915783575618,188.32971443661734,175.62029988014345
TS003,0.25,0.7592182246175333,187.24204087274214,177.6860621876115
TS003,0.25,0.767944870877505,186.07511063779424,179.69064561390223
TS003,0.25,0.7766715171374766,184.82762082171735,181.62959712968615
TS003,0.25,0.7853981633974483,183.49880042393113,183.49880042393113
TS003,0.25,0.7941248096574199,182.0884476273667,185.29455048042598
TS003,0.25,0.8028514559173916,180.5969546002696,187.01362106683845
TS003,0.25,0.8115781021773633,179.02531826496488,188.65332230971885
TS003,0.25,0.8203047484373349,177.37513611752217,190.21154590879974
TS003,0.25,0.8290313946973066,175.6485869197844,191.68679610636556
TS003,0.25,0.8377580409572782,173.8483968555134,193.07820523072527
TS003,0.25,0.8464846872172498,171.97779247993185,194.38553341895346
TS003,0.25,0.8552113334772214,170.04044243395674,195.60915292590659
TS003,0.25,0.8639379797371931,168.0403903889866,196.75001817632668
TS003,0.25,0.8726646259971648,165.981982000316,197.80962335478407
TS003,0.25,0.8813912722571364,163.86978876271806,198.789949809395
TS003,0.25,0.8901179185171081,161.70853158680933,199.6934058440094
TS003,0.25,0.8988445647770797,159.50300667386722,200.52276158467103
TS003,0.25,0.9075712110370514,157.25801589725114,201.28108154297274
TS003,0.25,0.9162978572970231,154.9783034449535,201.97165728934704
TS003,0.25,0.9250245035569946,152.66849998552468,202.59794233034614
TS003,0.25,0.9337511498169663,150.33307513001228,203.16349089609153
TS003,0.25,0.9424777960769379,147.9762985092493,203.6719019263762
TS003,0.25,0.9512044423369096,145.60220939285318,204.12676913029685
TS003,0.25,0.9599310885968813,143.214594457775,204.53163761125168
TS003,0.25,0.9686577348568529,140.81697307529942,204.88996721488525
TS003,0.25,0.9773843811168246,138.4125893238585,205.20510248233586
TS003,0.25,0.9861110273767962,136.00440984345047,205.48024887830985
TS003,0.25,0.9948376736367679,133.5951266151691,205.718454811072
TS003,0.25,1.0035643198967394,131.18716376423484,205.92259886366963
TS003,0.25,1.0122909661567112,128.78268753480125,206.09538160464695
