condition_id,work_mj_m3,loading_angle_deg,cpfem_mpa,prediction_mpa
TS298,0.5,40,295.53570556640625,264.7603849274142
TS298,0.5,60,299.6489562988281,271.6826384859208
TS298,0.5,80,295.2488708496094,272.46255252752246
TS298,0.5,100,281.0033264160156,263.8591756288646
TS298,0.5,120,235.53021240234375,214.090100516815
TS298,0.5,140,142.673095703125,147.7212778336851
TS298,0.5,160,183.40248107910156,184.59108001965942
TS298,0.75,0,223.15768432617188,219.6798361985324
TS298,0.75,20,283.58917236328125,261.8556727140642
TS298,0.75,40,302.82574462890625,272.8480651616161
TS298,0.75,60,306.88861083984375,280.178989183228
TS298,0.75,80,302.7194519042969,280.5379991712882
TS298,0.75,100,289.9200744628906,273.9954713099321
TS298,0.75,120,248.88177490234375,224.59554984929363
TS298,0.75,140,148.6201629638672,153.52449321141256
TS298,0.75,160,189.08055114746094,190.3386185969551
TS298,1.0,0,228.37985229492188,224.84049293329875
TS298,1.0,20,291.155029296875,268.91033087239555
TS298,1.0,40,309.6260986328125,279.75747789921775
TS298,1.0,60,313.7167053222656,287.4693025160441
TS298,1.0,80,309.7837219238281,287.6113820278636
TS298,1.0,100,297.264892578125,282.6308629097359
TS298,1.0,120,257.8074035644531,233.17019056881975
TS298,1.0,140,153.2828369140625,158.4530233678218
TS298,1.0,160,193.84567260742188,195.3898626583234
TS298,2.0,0,244.10873413085938,241.2757328925688
TS298,2.0,20,313.1312255859375,290.78385551897185
TS298,2.0,40,330.84759521484375,301.2326320563159
TS298,2.0,60,335.8995361328125,310.2551379798439
TS298,2.0,80,332.6937561035156,310.3317526236885
TS298,2.0,100,320.6907958984375,309.2796715903824
TS298,2.0,120,280.8364562988281,258.23013794302193
TS298,2.0,140,166.7989044189453,173.6152855243136
TS298,2.0,160,209.1257781982422,211.64744227764098
TS298,5.0,0,275.19366455078125,274.221481282452
TS298,5.0,20,353.8537292480469,332.6089318075357
TS298,5.0,40,374.11920166015625,342.57243843162644
TS298,5.0,60,382.04913330078125,354.4053173150857
TS298,5.0,80,380.1400146484375,355.85676431007414
TS298,5.0,100,368.4637451171875,359.64021664160396
TS298,5.0,120,321.8597412109375,302.6921275524139
TS298,5.0,140,192.01278686523438,202.25440294973302
TS298,5.0,160,240.26516723632812,244.04597392108928
TS298,10.0,0,308.47662353515625,309.84093211006126
TS298,10.0,20,395.0421142578125,375.5831453435572
TS298,10.0,40,418.84698486328125,385.48451575963276
TS298,10.0,60,429.868408203125,400.3688020200458
TS298,10.0,80,429.314453125,404.0258317872033
TS298,10.0,100,418.0457458496094,410.5534428699409
TS298,10.0,120,364.0610046386719,346.52553105139685
TS298,10.0,140,217.45840454101562,231.39771443823525
TS298,10.0,160,272.1757507324219,277.7033328216993
